"","districtnum","districtname","population","affil","familyname","firstname","middlename","provcode","province","gender"
"1",10001,"Avalon",81540,"No Affiliation","Andrews","Scott",NA,"10","Newfoundland and Labrador","Male"
"2",10001,"Avalon",81540,"New Democratic Party","Baldwin","Jeannie",NA,"10","Newfoundland and Labrador","Female"
"3",10001,"Avalon",81540,"Conservative Party of Canada","Barnett","Lorraine","E.","10","Newfoundland and Labrador","Female"
"4",10001,"Avalon",81540,"Green Party of Canada","Byrne-Puumala","Krista",NA,"10","Newfoundland and Labrador","Female"
"5",10001,"Avalon",81540,"Forces et Démocratie","McCreath","Jennifer",NA,"10","Newfoundland and Labrador","Female"
"6",10001,"Avalon",81540,"Liberal Party of Canada","McDonald","Ken",NA,"10","Newfoundland and Labrador","Male"
"7",10002,"Bonavista--Burin--Trinity",76704,"New Democratic Party","Brown","Jenn",NA,"10","Newfoundland and Labrador","Female"
"8",10002,"Bonavista--Burin--Trinity",76704,"Green Party of Canada","Colbourne","Tyler","John","10","Newfoundland and Labrador","Male"
"9",10002,"Bonavista--Burin--Trinity",76704,"Liberal Party of Canada","Foote","Judy","M.","10","Newfoundland and Labrador","Female"
"10",10002,"Bonavista--Burin--Trinity",76704,"Conservative Party of Canada","Windsor","Mike",NA,"10","Newfoundland and Labrador","Male"
"11",10003,"Coast of Bays--Central--Notre Dame",78092,"New Democratic Party","Menchenton","Claudette",NA,"10","Newfoundland and Labrador","Female"
"12",10003,"Coast of Bays--Central--Notre Dame",78092,"Conservative Party of Canada","O'Brien","Kevin","George","10","Newfoundland and Labrador","Male"
"13",10003,"Coast of Bays--Central--Notre Dame",78092,"Green Party of Canada","Perry","Elizabeth",NA,"10","Newfoundland and Labrador","Female"
"14",10003,"Coast of Bays--Central--Notre Dame",78092,"Liberal Party of Canada","Simms","Scott",NA,"10","Newfoundland and Labrador","Male"
"15",10004,"Labrador",26728,"Liberal Party of Canada","Jones","Yvonne",NA,"10","Newfoundland and Labrador","Female"
"16",10004,"Labrador",26728,"Conservative Party of Canada","Penashue","Peter",NA,"10","Newfoundland and Labrador","Male"
"17",10004,"Labrador",26728,"New Democratic Party","Rudkowski","Edward",NA,"10","Newfoundland and Labrador","Male"
"18",10005,"Long Range Mountains",87592,"New Democratic Party","Babstock","Devon",NA,"10","Newfoundland and Labrador","Male"
"19",10005,"Long Range Mountains",87592,"Green Party of Canada","Cormier","Terry",NA,"10","Newfoundland and Labrador","Male"
"20",10005,"Long Range Mountains",87592,"Liberal Party of Canada","Hutchings","Gudie",NA,"10","Newfoundland and Labrador","Female"
"21",10005,"Long Range Mountains",87592,"Conservative Party of Canada","Ruth","Wayne",NA,"10","Newfoundland and Labrador","Male"
"22",10006,"St. John's East",81936,"Communist Party of Canada","Burton","Sean",NA,"10","Newfoundland and Labrador","Male"
"23",10006,"St. John's East",81936,"New Democratic Party","Harris","Jack",NA,"10","Newfoundland and Labrador","Male"
"24",10006,"St. John's East",81936,"Green Party of Canada","Peters","David","Anthony","10","Newfoundland and Labrador","Male"
"25",10006,"St. John's East",81936,"Conservative Party of Canada","Stapleton","Deanne",NA,"10","Newfoundland and Labrador","Female"
"26",10006,"St. John's East",81936,"Liberal Party of Canada","Whalen","Nick",NA,"10","Newfoundland and Labrador","Male"
"27",10007,"St. John's South--Mount Pearl",81944,"New Democratic Party","Cleary","Ryan",NA,"10","Newfoundland and Labrador","Male"
"28",10007,"St. John's South--Mount Pearl",81944,"Conservative Party of Canada","Krol","Marek",NA,"10","Newfoundland and Labrador","Male"
"29",10007,"St. John's South--Mount Pearl",81944,"Green Party of Canada","McLean","Jackson",NA,"10","Newfoundland and Labrador","Male"
"30",10007,"St. John's South--Mount Pearl",81944,"Liberal Party of Canada","O'Regan","Seamus",NA,"10","Newfoundland and Labrador","Male"
"31",11001,"Cardigan",36005,"New Democratic Party","Cann","Billy",NA,"11","Prince Edward Island","Male"
"32",11001,"Cardigan",36005,"Green Party of Canada","Doyle","Teresa",NA,"11","Prince Edward Island","Female"
"33",11001,"Cardigan",36005,"Liberal Party of Canada","MacAulay","Lawrence",NA,"11","Prince Edward Island","Male"
"34",11001,"Cardigan",36005,"Conservative Party of Canada","Patkai","Julius",NA,"11","Prince Edward Island","Male"
"35",11001,"Cardigan",36005,"Christian Heritage Party of Canada","Squires","Christene",NA,"11","Prince Edward Island","Female"
"36",11002,"Charlottetown",34562,"New Democratic Party","Byrne","Joe",NA,"11","Prince Edward Island","Male"
"37",11002,"Charlottetown",34562,"Liberal Party of Canada","Casey","Sean",NA,"11","Prince Edward Island","Male"
"38",11002,"Charlottetown",34562,"Conservative Party of Canada","MacMillan","Ron",NA,"11","Prince Edward Island","Male"
"39",11002,"Charlottetown",34562,"Green Party of Canada","Viau","Becka",NA,"11","Prince Edward Island","Female"
"40",11003,"Egmont",34598,"New Democratic Party","Dickieson","Herb",NA,"11","Prince Edward Island","Male"
"41",11003,"Egmont",34598,"Green Party of Canada","Ling","Nils",NA,"11","Prince Edward Island","Male"
"42",11003,"Egmont",34598,"Liberal Party of Canada","Morrissey","Bobby",NA,"11","Prince Edward Island","Male"
"43",11003,"Egmont",34598,"Conservative Party of Canada","Shea","Gail",NA,"11","Prince Edward Island","Female"
"44",11004,"Malpeque",35039,"Liberal Party of Canada","Easter","Wayne",NA,"11","Prince Edward Island","Male"
"45",11004,"Malpeque",35039,"New Democratic Party","Hayward","Leah","Jane","11","Prince Edward Island","Female"
"46",11004,"Malpeque",35039,"Green Party of Canada","Lund","Lynne",NA,"11","Prince Edward Island","Female"
"47",11004,"Malpeque",35039,"Conservative Party of Canada","Stewart","Stephen",NA,"11","Prince Edward Island","Male"
"48",12001,"Cape Breton--Canso",75247,"Green Party of Canada","Coady","Maria","Goretti","12","Nova Scotia","Female"
"49",12001,"Cape Breton--Canso",75247,"Liberal Party of Canada","Cuzner","Rodger",NA,"12","Nova Scotia","Male"
"50",12001,"Cape Breton--Canso",75247,"Conservative Party of Canada","Rodgers","Adam","Daniel","12","Nova Scotia","Male"
"51",12001,"Cape Breton--Canso",75247,"New Democratic Party","Smith","Michelle",NA,"12","Nova Scotia","Female"
"52",12002,"Central Nova",74597,"Conservative Party of Canada","DeLorey","Fred",NA,"12","Nova Scotia","Male"
"53",12002,"Central Nova",74597,"Liberal Party of Canada","Fraser","Sean",NA,"12","Nova Scotia","Male"
"54",12002,"Central Nova",74597,"Green Party of Canada","Hachey","David",NA,"12","Nova Scotia","Male"
"55",12002,"Central Nova",74597,"New Democratic Party","Landry","Ross",NA,"12","Nova Scotia","Male"
"56",12002,"Central Nova",74597,"Independent","MacKenzie","Alexander","J.","12","Nova Scotia","Male"
"57",12003,"Cumberland--Colchester",82321,"Conservative Party of Canada","Armstrong","Scott",NA,"12","Nova Scotia","Male"
"58",12003,"Cumberland--Colchester",82321,"Green Party of Canada","Blanch","Jason","Matthew","12","Nova Scotia","Male"
"59",12003,"Cumberland--Colchester",82321,"Liberal Party of Canada","Casey","Bill",NA,"12","Nova Scotia","Male"
"60",12003,"Cumberland--Colchester",82321,"Independent","Jackson","Kenneth",NA,"12","Nova Scotia","Male"
"61",12003,"Cumberland--Colchester",82321,"Independent","Plett","Richard","Trueman","12","Nova Scotia","Male"
"62",12003,"Cumberland--Colchester",82321,"New Democratic Party","Robinson","Wendy",NA,"12","Nova Scotia","Female"
"63",12004,"Dartmouth--Cole Harbour",91212,"New Democratic Party","Chisholm","Robert",NA,"12","Nova Scotia","Male"
"64",12004,"Dartmouth--Cole Harbour",91212,"Conservative Party of Canada","Cole","Jason",NA,"12","Nova Scotia","Male"
"65",12004,"Dartmouth--Cole Harbour",91212,"Liberal Party of Canada","Fisher","Darren",NA,"12","Nova Scotia","Male"
"66",12004,"Dartmouth--Cole Harbour",91212,"Green Party of Canada","Nheiley","Brynn",NA,"12","Nova Scotia","Female"
"67",12005,"Halifax",92643,"Marxist-Leninist Party of Canada","Bezanson","Allan",NA,"12","Nova Scotia","Male"
"68",12005,"Halifax",92643,"Conservative Party of Canada","Carvery","Irvine",NA,"12","Nova Scotia","Male"
"69",12005,"Halifax",92643,"Liberal Party of Canada","Fillmore","Andy",NA,"12","Nova Scotia","Male"
"70",12005,"Halifax",92643,"New Democratic Party","Leslie","Megan",NA,"12","Nova Scotia","Female"
"71",12005,"Halifax",92643,"Green Party of Canada","Trappenberg","Thomas",NA,"12","Nova Scotia","Male"
"72",12006,"Halifax West",87275,"New Democratic Party","Hussey","Joanne",NA,"12","Nova Scotia","Female"
"73",12006,"Halifax West",87275,"Conservative Party of Canada","McGinnis","Michael",NA,"12","Nova Scotia","Male"
"74",12006,"Halifax West",87275,"Liberal Party of Canada","Regan","Geoff",NA,"12","Nova Scotia","Male"
"75",12006,"Halifax West",87275,"Green Party of Canada","Zurawski","Richard","Henryk","12","Nova Scotia","Male"
"76",12007,"Kings--Hants",83306,"Liberal Party of Canada","Brison","Scott",NA,"12","Nova Scotia","Male"
"77",12007,"Kings--Hants",83306,"Rhinoceros Party","Brown-Hodges","Megan",NA,"12","Nova Scotia","Female"
"78",12007,"Kings--Hants",83306,"Green Party of Canada","Cooper","Will",NA,"12","Nova Scotia","Male"
"79",12007,"Kings--Hants",83306,"New Democratic Party","Curry","Hugh",NA,"12","Nova Scotia","Male"
"80",12007,"Kings--Hants",83306,"Conservative Party of Canada","Morse","David",NA,"12","Nova Scotia","Male"
"81",12007,"Kings--Hants",83306,"Independent","Twohig","Edd",NA,"12","Nova Scotia","Male"
"82",12007,"Kings--Hants",83306,"Independent","Williams","Clifford","James","12","Nova Scotia","Male"
"83",12008,"Sackville--Preston--Chezzetcook",85583,"Green Party of Canada","Montgomery","Mike",NA,"12","Nova Scotia","Male"
"84",12008,"Sackville--Preston--Chezzetcook",85583,"Liberal Party of Canada","Samson","Darrell",NA,"12","Nova Scotia","Male"
"85",12008,"Sackville--Preston--Chezzetcook",85583,"New Democratic Party","Stoffer","Peter",NA,"12","Nova Scotia","Male"
"86",12008,"Sackville--Preston--Chezzetcook",85583,"Conservative Party of Canada","Strickland","Robert","Thomas","12","Nova Scotia","Male"
"87",12009,"South Shore--St. Margarets",92561,"Communist Party of Canada","Barry","Ryan",NA,"12","Nova Scotia","Male"
"88",12009,"South Shore--St. Margarets",92561,"Green Party of Canada","Biggar","Richard",NA,"12","Nova Scotia","Male"
"89",12009,"South Shore--St. Margarets",92561,"Independent","Bruhm","Trevor",NA,"12","Nova Scotia","Male"
"90",12009,"South Shore--St. Margarets",92561,"Conservative Party of Canada","Clark","Richard",NA,"12","Nova Scotia","Male"
"91",12009,"South Shore--St. Margarets",92561,"New Democratic Party","Godbold","Alex",NA,"12","Nova Scotia","Male"
"92",12009,"South Shore--St. Margarets",92561,"Liberal Party of Canada","Jordan","Bernadette",NA,"12","Nova Scotia","Female"
"93",12010,"Sydney--Victoria",73328,"Conservative Party of Canada","Chiasson","John","Douglas","12","Nova Scotia","Male"
"94",12010,"Sydney--Victoria",73328,"New Democratic Party","Dutt","Monika",NA,"12","Nova Scotia","Female"
"95",12010,"Sydney--Victoria",73328,"Liberal Party of Canada","Eyking","Mark",NA,"12","Nova Scotia","Male"
"96",12010,"Sydney--Victoria",73328,"Libertarian Party of Canada","Hiscock","Wayne","James","12","Nova Scotia","Male"
"97",12010,"Sydney--Victoria",73328,"Green Party of Canada","MacKinnon","Adrianna",NA,"12","Nova Scotia","Female"
"98",12011,"West Nova",83654,"New Democratic Party","Foster","Greg",NA,"12","Nova Scotia","Male"
"99",12011,"West Nova",83654,"Liberal Party of Canada","Fraser","Colin",NA,"12","Nova Scotia","Male"
"100",12011,"West Nova",83654,"Conservative Party of Canada","LeBlanc","Arnold",NA,"12","Nova Scotia","Male"
"101",12011,"West Nova",83654,"Green Party of Canada","Walton","Clark",NA,"12","Nova Scotia","Male"
"102",13001,"Acadie--Bathurst",79340,"Green Party of Canada","Breau","Dominique",NA,"13","New Brunswick","Female"
"103",13001,"Acadie--Bathurst",79340,"Liberal Party of Canada","Cormier","Serge",NA,"13","New Brunswick","Male"
"104",13001,"Acadie--Bathurst",79340,"Conservative Party of Canada","Girouard-Riordon","Riba",NA,"13","New Brunswick","Male"
"105",13001,"Acadie--Bathurst",79340,"New Democratic Party","Godin","Jason",NA,"13","New Brunswick","Male"
"106",13002,"Beauséjour",80416,"Conservative Party of Canada","Bastarache","Ann",NA,"13","New Brunswick","Female"
"107",13002,"Beauséjour",80416,"New Democratic Party","Boudreau","Hélène",NA,"13","New Brunswick","Female"
"108",13002,"Beauséjour",80416,"Green Party of Canada","King","Kevin",NA,"13","New Brunswick","Male"
"109",13002,"Beauséjour",80416,"Liberal Party of Canada","LeBlanc","Dominic",NA,"13","New Brunswick","Male"
"110",13003,"Fredericton",81759,"Conservative Party of Canada","Ashfield","Keith",NA,"13","New Brunswick","Male"
"111",13003,"Fredericton",81759,"Green Party of Canada","Babineau","Mary","Lou","13","New Brunswick","Female"
"112",13003,"Fredericton",81759,"Liberal Party of Canada","DeCourcey","Matt",NA,"13","New Brunswick","Male"
"113",13003,"Fredericton",81759,"New Democratic Party","Scott-Levesque","Sharon",NA,"13","New Brunswick","Female"
"114",13004,"Fundy Royal",79331,"Independent","Amos","David","Raymond","13","New Brunswick","Male"
"115",13004,"Fundy Royal",79331,"Green Party of Canada","Coburn","Stephanie",NA,"13","New Brunswick","Female"
"116",13004,"Fundy Royal",79331,"Liberal Party of Canada","Lockhart","Alaina",NA,"13","New Brunswick","Female"
"117",13004,"Fundy Royal",79331,"New Democratic Party","McKenzie","Jennifer",NA,"13","New Brunswick","Female"
"118",13004,"Fundy Royal",79331,"Conservative Party of Canada","Moore","Rob",NA,"13","New Brunswick","Male"
"119",13005,"Madawaska--Restigouche",62540,"Liberal Party of Canada","Arseneault","René",NA,"13","New Brunswick","Male"
"120",13005,"Madawaska--Restigouche",62540,"Green Party of Canada","Aubin","Françoise",NA,"13","New Brunswick","Female"
"121",13005,"Madawaska--Restigouche",62540,"New Democratic Party","L'Italien","Rosaire",NA,"13","New Brunswick","Male"
"122",13005,"Madawaska--Restigouche",62540,"Conservative Party of Canada","Valcourt","Bernard",NA,"13","New Brunswick","Male"
"123",13006,"Miramichi--Grand Lake",59343,"Green Party of Canada","Clark","Matthew","Ian","13","New Brunswick","Male"
"124",13006,"Miramichi--Grand Lake",59343,"New Democratic Party","Colford","Patrick",NA,"13","New Brunswick","Male"
"125",13006,"Miramichi--Grand Lake",59343,"Liberal Party of Canada","Finnigan","Pat",NA,"13","New Brunswick","Female"
"126",13006,"Miramichi--Grand Lake",59343,"Conservative Party of Canada","O'Neill-Gordon","Tilly",NA,"13","New Brunswick","Female"
"127",13007,"Moncton--Riverview--Dieppe",89484,"Conservative Party of Canada","Goguen","Robert",NA,"13","New Brunswick","Male"
"128",13007,"Moncton--Riverview--Dieppe",89484,"New Democratic Party","LeBlanc","Luc",NA,"13","New Brunswick","Male"
"129",13007,"Moncton--Riverview--Dieppe",89484,"Green Party of Canada","Melanson","Luc",NA,"13","New Brunswick","Male"
"130",13007,"Moncton--Riverview--Dieppe",89484,"Liberal Party of Canada","Petitpas Taylor","Ginette",NA,"13","New Brunswick","Female"
"131",13008,"New Brunswick Southwest",66197,"New Democratic Party","Graham","Andrew",NA,"13","New Brunswick","Male"
"132",13008,"New Brunswick Southwest",66197,"Liberal Party of Canada","Ludwig","Karen",NA,"13","New Brunswick","Female"
"133",13008,"New Brunswick Southwest",66197,"Green Party of Canada","MacIntosh","Gayla",NA,"13","New Brunswick","Female"
"134",13008,"New Brunswick Southwest",66197,"Conservative Party of Canada","Williamson","John",NA,"13","New Brunswick","Male"
"135",13009,"Saint John--Rothesay",82129,"New Democratic Party","Griffin","AJ",NA,"13","New Brunswick","Male"
"136",13009,"Saint John--Rothesay",82129,"Liberal Party of Canada","Long","Wayne",NA,"13","New Brunswick","Male"
"137",13009,"Saint John--Rothesay",82129,"Green Party of Canada","Murphy","Sharon",NA,"13","New Brunswick","Female"
"138",13009,"Saint John--Rothesay",82129,"Conservative Party of Canada","Weston","Rodney",NA,"13","New Brunswick","Male"
"139",13010,"Tobique--Mactaquac",70632,"Conservative Party of Canada","Bragdon","Richard",NA,"13","New Brunswick","Male"
"140",13010,"Tobique--Mactaquac",70632,"Liberal Party of Canada","Harvey","TJ",NA,"13","New Brunswick","Male"
"141",13010,"Tobique--Mactaquac",70632,"New Democratic Party","Kitchen","Robert",NA,"13","New Brunswick","Male"
"142",13010,"Tobique--Mactaquac",70632,"Green Party of Canada","Wishart","Terry",NA,"13","New Brunswick","Male"
"143",24001,"Abitibi--Baie-James--Nunavik--Eeyou",85475,"Green Party of Canada","Benoît","Patrick",NA,"24","Quebec","Male"
"144",24001,"Abitibi--Baie-James--Nunavik--Eeyou",85475,"Liberal Party of Canada","Dufour","Pierre",NA,"24","Quebec","Male"
"145",24001,"Abitibi--Baie-James--Nunavik--Eeyou",85475,"Bloc Québécois","Ferland","Luc",NA,"24","Quebec","Male"
"146",24001,"Abitibi--Baie-James--Nunavik--Eeyou",85475,"Rhinoceros Party","Gagnon","Mario",NA,"24","Quebec","Male"
"147",24001,"Abitibi--Baie-James--Nunavik--Eeyou",85475,"Conservative Party of Canada","Hébert","Steven",NA,"24","Quebec","Male"
"148",24001,"Abitibi--Baie-James--Nunavik--Eeyou",85475,"New Democratic Party","Saganash","Romeo",NA,"24","Quebec","Male"
"149",24002,"Abitibi--Témiscamingue",102794,"Green Party of Canada","Bégin","Aline",NA,"24","Quebec","Female"
"150",24002,"Abitibi--Témiscamingue",102794,"Conservative Party of Canada","Fortin","Benoit",NA,"24","Quebec","Male"
"151",24002,"Abitibi--Témiscamingue",102794,"Rhinoceros Party","Gélinas","Pascal","Fou","24","Quebec","Male"
"152",24002,"Abitibi--Témiscamingue",102794,"New Democratic Party","Moore","Christine",NA,"24","Quebec","Female"
"153",24002,"Abitibi--Témiscamingue",102794,"Bloc Québécois","Moreau","Yvon",NA,"24","Quebec","Male"
"154",24002,"Abitibi--Témiscamingue",102794,"Liberal Party of Canada","Thibault","Claude",NA,"24","Quebec","Male"
"155",24003,"Ahuntsic-Cartierville",110473,"Bloc Québécois","Bourdon","Nicolas",NA,"24","Quebec","Male"
"156",24003,"Ahuntsic-Cartierville",110473,"Rhinoceros Party","Gascon-David","Catherine",NA,"24","Quebec","Female"
"157",24003,"Ahuntsic-Cartierville",110473,"Liberal Party of Canada","Joly","Mélanie",NA,"24","Quebec","Female"
"158",24003,"Ahuntsic-Cartierville",110473,"Green Party of Canada","Mercier","Gilles",NA,"24","Quebec","Male"
"159",24003,"Ahuntsic-Cartierville",110473,"Conservative Party of Canada","Moughrabi","Wiliam",NA,"24","Quebec","Male"
"160",24003,"Ahuntsic-Cartierville",110473,"New Democratic Party","Mourani","Maria",NA,"24","Quebec","Female"
"161",24004,"Alfred-Pellan",98045,"Green Party of Canada","Briguene","Lynda",NA,"24","Quebec","Female"
"162",24004,"Alfred-Pellan",98045,"New Democratic Party","Doré Lefebvre","Rosane",NA,"24","Quebec","Female"
"163",24004,"Alfred-Pellan",98045,"Liberal Party of Canada","Iacono","Angelo",NA,"24","Quebec","Male"
"164",24004,"Alfred-Pellan",98045,"Independent","Isopo","Renata",NA,"24","Quebec","Female"
"165",24004,"Alfred-Pellan",98045,"Conservative Party of Canada","Purcarus","Gabriel",NA,"24","Quebec","Male"
"166",24004,"Alfred-Pellan",98045,"Bloc Québécois","St-Hilaire","Daniel",NA,"24","Quebec","Male"
"167",24005,"Argenteuil--La Petite-Nation",94208,"Bloc Québécois","Beauchamp","Jonathan",NA,"24","Quebec","Male"
"168",24005,"Argenteuil--La Petite-Nation",94208,"New Democratic Party","Crête","Chantal",NA,"24","Quebec","Female"
"169",24005,"Argenteuil--La Petite-Nation",94208,"Conservative Party of Canada","Hupé-Labelle","Maxime",NA,"24","Quebec","Male"
"170",24005,"Argenteuil--La Petite-Nation",94208,"Green Party of Canada","Lamarche","Audrey",NA,"24","Quebec","Female"
"171",24005,"Argenteuil--La Petite-Nation",94208,"Liberal Party of Canada","Lauzon","Stéphane",NA,"24","Quebec","Female"
"172",24006,"Avignon--La Mitis--Matane--Matapédia",74547,"New Democratic Party","Charest","Joël",NA,"24","Quebec","Male"
"173",24006,"Avignon--La Mitis--Matane--Matapédia",74547,"Bloc Québécois","Fleury-Samson","Kédina",NA,"24","Quebec","Female"
"174",24006,"Avignon--La Mitis--Matane--Matapédia",74547,"Forces et Démocratie","Fortin","Jean","François","24","Quebec","Male"
"175",24006,"Avignon--La Mitis--Matane--Matapédia",74547,"Liberal Party of Canada","Massé","Rémi",NA,"24","Quebec","Male"
"176",24006,"Avignon--La Mitis--Matane--Matapédia",74547,"Rhinoceros Party","Normand","Éric",NA,"24","Quebec","Male"
"177",24006,"Avignon--La Mitis--Matane--Matapédia",74547,"Conservative Party of Canada","Savoie","André",NA,"24","Quebec","Male"
"178",24006,"Avignon--La Mitis--Matane--Matapédia",74547,"Green Party of Canada","Springle","Sherri",NA,"24","Quebec","Female"
"179",24007,"Beauce",106337,"Conservative Party of Canada","Bernier","Maxime",NA,"24","Quebec","Male"
"180",24007,"Beauce",106337,"Green Party of Canada","MacDonald","Céline","Brown","24","Quebec","Female"
"181",24007,"Beauce",106337,"New Democratic Party","Royer","Daniel",NA,"24","Quebec","Male"
"182",24007,"Beauce",106337,"Bloc Québécois","Trudel","Stéphane",NA,"24","Quebec","Female"
"183",24007,"Beauce",106337,"Liberal Party of Canada","Veilleux","Adam",NA,"24","Quebec","Male"
"184",24008,"Beauport--Limoilou",92944,"Libertarian Party of Canada","Bedard","Francis",NA,"24","Quebec","Male"
"185",24008,"Beauport--Limoilou",92944,"Bloc Québécois","Berberi","Doni",NA,"24","Quebec","Female"
"186",24008,"Beauport--Limoilou",92944,"Liberal Party of Canada","Bujold","Antoine",NA,"24","Quebec","Male"
"187",24008,"Beauport--Limoilou",92944,"Conservative Party of Canada","Clarke","Alupa",NA,"24","Quebec","Male"
"188",24008,"Beauport--Limoilou",92944,"New Democratic Party","Côté","Raymond",NA,"24","Quebec","Male"
"189",24008,"Beauport--Limoilou",92944,"Green Party of Canada","Elhak","Dalila",NA,"24","Quebec","Female"
"190",24008,"Beauport--Limoilou",92944,"Forces et Démocratie","Laborit","Bladimir",NA,"24","Quebec","Male"
"191",24008,"Beauport--Limoilou",92944,"Marxist-Leninist Party of Canada","Moreau","Claude",NA,"24","Quebec","Male"
"192",24009,"Bécancour--Nicolet--Saurel",93779,"Green Party of Canada","Bastiani","Corina",NA,"24","Quebec","Female"
"193",24009,"Bécancour--Nicolet--Saurel",93779,"Liberal Party of Canada","Carpentier","Claude",NA,"24","Quebec","Male"
"194",24009,"Bécancour--Nicolet--Saurel",93779,"Conservative Party of Canada","Laberge","Yves",NA,"24","Quebec","Male"
"195",24009,"Bécancour--Nicolet--Saurel",93779,"Bloc Québécois","Plamondon","Louis",NA,"24","Quebec","Male"
"196",24009,"Bécancour--Nicolet--Saurel",93779,"New Democratic Party","Tabah","Nicolas",NA,"24","Quebec","Male"
"197",24010,"Bellechasse--Les Etchemins--Lévis",112385,"Green Party of Canada","Bélisle","André",NA,"24","Quebec","Male"
"198",24010,"Bellechasse--Les Etchemins--Lévis",112385,"Conservative Party of Canada","Blaney","Steven",NA,"24","Quebec","Male"
"199",24010,"Bellechasse--Les Etchemins--Lévis",112385,"New Democratic Party","Daigle","Jean","Luc","24","Quebec","Male"
"200",24010,"Bellechasse--Les Etchemins--Lévis",112385,"Bloc Québécois","Dubé","Antoine",NA,"24","Quebec","Male"
"201",24010,"Bellechasse--Les Etchemins--Lévis",112385,"Liberal Party of Canada","Turgeon","Jacques",NA,"24","Quebec","Male"
"202",24011,"Beloeil--Chambly",109955,"Conservative Party of Canada","Chalhoub","Claude",NA,"24","Quebec","Male"
"203",24011,"Beloeil--Chambly",109955,"Liberal Party of Canada","Desjardins","Karine",NA,"24","Quebec","Female"
"204",24011,"Beloeil--Chambly",109955,"New Democratic Party","Dubé","Matthew",NA,"24","Quebec","Male"
"205",24011,"Beloeil--Chambly",109955,"Bloc Québécois","Lessard","Yves",NA,"24","Quebec","Male"
"206",24011,"Beloeil--Chambly",109955,"Libertarian Party of Canada","Maher","Michael",NA,"24","Quebec","Male"
"207",24011,"Beloeil--Chambly",109955,"Green Party of Canada","Yansané","Fodé","Kerfalla","24","Quebec","Male"
"208",24012,"Berthier--Maskinongé",98590,"New Democratic Party","Brosseau","Ruth","Ellen","24","Quebec","Female"
"209",24012,"Berthier--Maskinongé",98590,"Green Party of Canada","Burton","Cate",NA,"24","Quebec","Female"
"210",24012,"Berthier--Maskinongé",98590,"Liberal Party of Canada","Destrempes","Pierre",NA,"24","Quebec","Male"
"211",24012,"Berthier--Maskinongé",98590,"Conservative Party of Canada","Foucrault","Marianne",NA,"24","Quebec","Female"
"212",24012,"Berthier--Maskinongé",98590,"Bloc Québécois","Perron","Yves",NA,"24","Quebec","Male"
"213",24013,"Thérèse-De Blainville",98499,"Liberal Party of Canada","Ayoub","Ramez",NA,"24","Quebec","Male"
"214",24013,"Thérèse-De Blainville",98499,"Green Party of Canada","Carkner","Andrew",NA,"24","Quebec","Male"
"215",24013,"Thérèse-De Blainville",98499,"New Democratic Party","Giguère","Alain",NA,"24","Quebec","Male"
"216",24013,"Thérèse-De Blainville",98499,"Libertarian Party of Canada","Guindon","Daniel",NA,"24","Quebec","Male"
"217",24013,"Thérèse-De Blainville",98499,"Bloc Québécois","Marginean","Alain",NA,"24","Quebec","Male"
"218",24013,"Thérèse-De Blainville",98499,"Conservative Party of Canada","Puga","Manuel",NA,"24","Quebec","Male"
"219",24014,"Pierre-Boucher--Les Patriotes--Verchères",95326,"Bloc Québécois","Barsalou-Duval","Xavier",NA,"24","Quebec","Male"
"220",24014,"Pierre-Boucher--Les Patriotes--Verchères",95326,"New Democratic Party","Fortin","Raphaël",NA,"24","Quebec","Male"
"221",24014,"Pierre-Boucher--Les Patriotes--Verchères",95326,"Liberal Party of Canada","Gagnon","Lucie",NA,"24","Quebec","Female"
"222",24014,"Pierre-Boucher--Les Patriotes--Verchères",95326,"Green Party of Canada","Lauzon","JiCi",NA,"24","Quebec","Male"
"223",24014,"Pierre-Boucher--Les Patriotes--Verchères",95326,"Conservative Party of Canada","Maheux","Clovis",NA,"24","Quebec","Male"
"224",24015,"Bourassa",100286,"Marxist-Leninist Party of Canada","Brunelle","Claude",NA,"24","Quebec","Male"
"225",24015,"Bourassa",100286,"Green Party of Canada","Charron","Maxime",NA,"24","Quebec","Male"
"226",24015,"Bourassa",100286,"Independent","Demers","Julie",NA,"24","Quebec","Female"
"227",24015,"Bourassa",100286,"Liberal Party of Canada","Dubourg","Emmanuel",NA,"24","Quebec","Male"
"228",24015,"Bourassa",100286,"New Democratic Party","Laguerre","Dolmine",NA,"24","Quebec","Female"
"229",24015,"Bourassa",100286,"Bloc Québécois","Léveillé","Gilles",NA,"24","Quebec","Male"
"230",24015,"Bourassa",100286,"Forces et Démocratie","Ndzana","Jean","Floriant","24","Quebec","Male"
"231",24015,"Bourassa",100286,"Conservative Party of Canada","Potasso-Justino","Jason",NA,"24","Quebec","Male"
"232",24016,"Brome--Missisquoi",98616,"New Democratic Party","Lusson","Catherine",NA,"24","Quebec","Female"
"233",24016,"Brome--Missisquoi",98616,"Bloc Québécois","Melchior","Patrick",NA,"24","Quebec","Male"
"234",24016,"Brome--Missisquoi",98616,"Green Party of Canada","Moynan","Cindy",NA,"24","Quebec","Female"
"235",24016,"Brome--Missisquoi",98616,"Forces et Démocratie","Paine","Patrick",NA,"24","Quebec","Male"
"236",24016,"Brome--Missisquoi",98616,"Liberal Party of Canada","Paradis","Denis",NA,"24","Quebec","Male"
